0,1
occurrence type vi collagen extracellular matrix renal glomeruli increase diabetes human bovine glomerular basement membrane gbm preparations representing extracellular matrix renal filtration units found contain type vi collagen protein solubilized guanidine guanidine dithiothreitol extractions characterized polyacrylamide gel electrophoretic resolution immunoblotting antiserum directed alpha vi alpha vi polypeptide chains insensitivity collagenase digestion nonreduced state contrast gbm product three distinct cells type vi collagen could detected extracts calf lens capsule epithelial cell derived basement membrane quantitation radioimmunoassay type vi collagen content gbm diabetic nondiabetic human subjects indicated fold higher level p less diabetic preparations glomerulus type vi collagen considered basis immunohistochemistry localized mesangium believe measurement protein gbm preparations provide valuable index mesangial expansion diabetic glomerulopathies,C19
aberrant splicing androgen receptor mrna results synthesis nonfunctional receptor protein patient androgen insensitivity androgen insensitivity disorder correct androgen response androgen target cell impaired clinical symptoms x chromosome linked syndrome presumed caused mutations androgen receptor gene report g mutation splice donor site intron androgen receptor gene xy subject lacking detectable androgen binding receptor complete form androgen insensitivity point mutation completely abolishes normal rna splicing exon intron boundary results activation cryptic splice donor site exon leads deletion nucleotides mrna translation mutant mrna results androgen receptor protein approximately kda smaller wild type mutated androgen receptor protein unable bind androgens unable activate transcription androgen regulated reporter gene construct mutation human androgen receptor gene demonstrates importance intact steroid binding domain proper androgen receptor functioning vivo,C19
mutation signal peptide encoding region preproparathyroid hormone gene familial isolated hypoparathyroidism preproparathyroid hormone prepropth gene mutation proposed cause familial isolated hypoparathyroidism fih cloned prepropth alleles patient autosomal dominant fih sequenced coding regions flanking regions splice junctions putatively abnormal based previous linkage studies allele differed allele normal sequence one nucleotide c point mutation changes codon position amino acid prepro sequence cysteine arginine disrupting hydrophobic core signal sequence hydrophobic core required secreted proteins efficient translocation across endoplasmic reticulum mutant protein likely inefficiently processed indeed vitro studies demonstrated dramatically impaired processing mutant prepropth propth summary observed point mutation signal peptide encoding region prepropth gene one fih kindred demonstrated functional defect caused mutation mutation signal sequence constitutes novel pathophysiologic mechanism man study may yield important insights form hormone deficiency role signal sequences human physiology,C19
short term treatment acromegaly somatostatin analog octreotide first double blind randomized placebo controlled study effects several studies suggest somatostatin analog octreotide sms may effectively reduce gh hypersecretion however double blind placebo controlled study substantiated findings present results randomized double blind day clinical trial octreotide patients acromegaly drug given sc every h initial dose micrograms added another micrograms every day micrograms gh levels calculated mean values observations hourly intervals h insulin like growth factor igf levels significantly reduced octreotide treatment responses varied reduction basal mean gh level significant reduction patients good correlation reduction gh igf levels main side effects gastrointestinal well tolerated found spontaneous variation daily mean gh igf levels h placebo group ranging approximately gh igf levels noted day patients treated octreotide occurrence gh rises administration times suggests may desirable give octreotide every h patients,C19
genetic evidence equating sry testis determining factor testis determining factor gene tdf lies chromosome responsible initiating male sex determination sry gene located sex determining region human mouse chromosomes many properties expected tdf sex reversal xy females results failure testis determination differentiation pathways xy females gonadal dysgenesis lost sex determining region chromosome terminal exchange sex chromosomes deletions sry tdf would predicted sex reversed xy females without chromosome deletions suffered mutations sry tested human xy females normal xy males alterations sry using single strand conformation polymorphism assay subsequent dna sequencing de novo mutation found sry gene one xy female mutation present patient normal father brother second variant found sry gene another xy female case normal father shared alteration variant second case may fortuitously associated predisposing towards sex reversal de novo mutation associated sex reversal provides compelling evidence sry required male sex determination,C19
human xy female frame shift mutation candidate testis determining gene sry primary decision male female sexual development human embryo depends presence chromosome specifically gene chromosome encoding testis determining factor tdf human sex determining region delimited kilobase interval near pseudoautosomal boundary region candidate gene tdf termed sry conserved specific chromosome mammals tested corresponding gene mouse chromosome deleted line xy female mutant mice expressed expected stage male gonadal development identified mutation sry one sex inversed xy females gonadal dysgenesis lack large segments short arm chromosome four nucleotide deletion occurs sequence sry encoding conserved dna binding motif results frame shift presumably leading non functional protein mutation occurred de novo father sporadic xy female bears normal sequence corresponding position results provide strong evidence sry tdf,C19
tumor necrosis factor putative mediator sick euthyroid syndrome man tumor necrosis factor alpha tnf believed important mediator many diseases associated sick euthyroid syndrome investigate effect tnf thyroid hormone metabolism performed controlled study six healthy postabsorptive males plasma thyroid hormones tsh sequentially measured iv bolus injections recombinant human tnf micrograms isotonic saline h study tnf produced characteristic changes circulating thyroid hormones tsh observed sick euthyroid syndrome compared control experiment tnf induced significant decreases saline p less tsh levels saline p less significant increase rt values saline p less free index affected tnf free showed mean transient increase five subjects nonsignificant occurred synchronically transient fold rise circulating ffa levels results suggest tnf involved either directly indirectly pathogenesis sick euthyroid syndrome,C19
comparison hba fructosamine diagnosis glucose tolerance abnormalities total glycosylated hemoglobin hba fructosamine evaluated screening tools detection glucose tolerance abnormalities asymptomatic subjects undergoing g oral glucose tolerance test subjects classified according world health organization criteria normal n impaired n diabetic n glucose tolerance found good specificity hba fructosamine respectively low sensitivity respectively intersection curves sensitivity specificity drawn various thresholds normality sensitivity specificity hba fructosamine thus neither hba fructosamine seems suitable diagnosis mild abnormalities glucose tolerance,C19
vitro vivo testing electrocatalytic glucose sensor prerequisite development implantable artificial pancreas availability stable long life glucose sensor platinum pt catalyzed electrodes demonstrated vitro show high sensitivity glucose long cycle life sensitive co reactants compared enzymatic methods authors developed special data processing method compensated net charge ratio cncr measured electrode response sensitive glucose completely insensitive urea moderately sensitive amino acids endogenous exogenous co reactants show minor interferences cncr method involves determination ratio net oxidation charge total charge one complete cycle cyclic voltammogram prototype electrodes tested vitro spiked plasma shown typical sensitivities greater x cncr units per mg dl change glucose concentration linear response mg dl vivo testing modified f vascular catheter membrane covered surface mounted electrodes used vena cava site swine several sensor designs tested vivo sensitivities x cncr units mg dl,C19
total serum glycosylated proteins detection monitoring gestational diabetes goal study determine whether serum glycosylated protein levels e fructosamine reliably screen gestational diabetes whether levels valid markers short term glycemic control third trimester pregnancy ninety seven pregnant women wk gestation evaluated mo hba c serum glycosylated protein serum fructosamine determined baseline venipuncture g oral glucose tolerance test performed detect gestational diabetes women studied tested positive gestational diabetes national diabetes data group criteria significant differences fasting h glucose values nondiabetic diabetic patients p less time point difference noted baseline serum glycosylated protein level vs mm ns hba c level vs ns gestational nondiabetic patients diabetic patients followed wk intervals serum glycosylated protein analysis hba c fasting glucose mean glucose determined outpatient monitoring serum glycosylated protein correlated significantly fasting blood glucose r p less mean outpatient glucose r p less wk follow visits correlation found hba c fasting blood glucose r ns mean outpatient glucose r ns follow period serum glycosylated protein level serum fructosamine useful screening test gestational diabetes however assay shows potential objective marker short term control evaluating maternal glycemic state,C19
circadian rhythmicity rate normalized qt interval hypothyroidism significance development class iii antiarrhythmic agents lengthening repolarization refractoriness occurs hypothyroidism associated reduced probability arrhythmias converse occurring hyperthyroidism qt interval circadian rhythmicity relative heart rate poorly defined man used new computer assisted technique measure qt interval analysis hour holter tapes weeks thyroxine replacement patients hypothyroidism findings compared normal control subjects qtc interval prolonged p less heart rate decreased p less hypothyroid state data analyzed circadian rhythmicity repeated measures analysis circadian variation qtc heart rate statistically significant hypothyroid euthyroid states p less well control subjects circadian rhythmicity qtc interval heart rate phase maximum prolongation qtc occurred midnight time heart lowest qtc interval remained significantly prolonged weeks replacement biochemical indexes hypothyroidism returned normal values computer assisted qtc interval determination technique used data circadian rhythmicity qtc heart rate significant implications development new class iii antiarrhythmic agents,C19
effects converting enzyme inhibition barrier function diabetic glomerulopathy differential solute clearances used examine effects day course enalapril glomerular barrier function proteinuric patients diabetic glomerulopathy day plasma renin prorenin became elevated arterial pressure declined transglomerular passage dextrans broad size distribution radii lowered significantly subset patients withdrawal enalapril followed additional days return renin levels arterial pressure pretreatment levels dextran sieving profile also returned baseline becoming uniformly elevated treated day levels theoretical analysis serial dextran sieving profiles indicated enalapril shifted glomerular pore size distribution smaller size changes barrier size selectivity associated reduction fractional albumin igg clearances enalapril therapy subsequent rise quantities withdrawal urinary protein excretion rate tended vary parallel conclude inhibition converting enzyme humans established diabetic glomerulopathy diminishes glomerular permeability proteins enhancing barrier size selectivity neither enalapril therapy withdrawal influenced glomerular filtration renal plasma flow rates significantly propose primary action enalapril may modulate intrinsic membrane properties glomerular barrier,C19
oral calcium load test diagnostic physiologic implications hyperparathyroidism oral calcium load test clt gm ca kg administered control subjects patients overt hyperparathyroidism assess efficacy diagnosis hyperparathyroidism participants placed low calcium diet days clt intact parathormone ionized calcium cai levels measured hours clt initial cai parathormone mean se mmol l pmol l control group compared mmol l pmol l group hyperparathyroidism groups similar percent increase cai values control hyperparathyroidism p greater decline parathormone levels patients hyperparathyroidism significantly less decline observed control subjects p less three hours clt parathormone suppressed control subjects whereas rebound occurred patients hyperparathyroidism postoperative clt demonstrated higher mean percent cai increase percent parathormone decline cai parathormone compared preoperative values cai pth p less hours calcium intake parathormone remained suppressed similar control subjects surgery three patients elevated parathormone low normal cai levels parathormone response clt confirmed diagnosis secondary hyperparathyroidism conclusion clt confirm diagnosis hyperparathyroidism successful parathyroidectomy distinguished postoperative secondary persistent primary hyperparathyroidism demonstrated nonautonomy abnormal parathyroid glands parathormone response calcium load characterized earlier nadir decreased suppressibility rapid recovery produced dynamic changes distinguish patients hyperparathyroidism control subjects hyperplasia adenoma,C19
reappraisal thyroxine treatment primary hypothyroidism optimum daily dose thyroxine calculated children aged years primary hypothyroidism titrating doses monthly intervals condition thyroid assessed sensitive assay thyroid stimulating hormone concentrations well measurement total free thyroid hormone concentrations systolic time interval ratios serum thyroid stimulating hormone concentration found responsive small changes thyroxine calculated optimum daily replacement dose thyroxine micrograms micrograms kg fractionally lower previously recommended closely related surface area coefficient variation body weight coefficient variation results suggest though monthly may optimal time interval increases dose thyroxine reduction dose made gradually,C19
tests thyroid function update diagnosis management thyroid disease current thyroid function tests give clinician powerful tools accurate assessment thyroid status majority patients encountered however small number clinical situations appear inconsistencies interrelationship thyroid function tests apparently inappropriate clinical status patient instances rational explanation observed alterations application information allow clinicians refine diagnostic accuracy thereby enable proceed appropriate therapeutic management program,C19
hyperparathyroidism cellular mechanisms gastric acid secretion patients hyperparathyroidism appear particular risk peptic ulcer disease test hypothesis hypercalcemia parathyroid hormone plays role promoting ulcer disease studied effect varying concentrations extracellular calcium acid secretion using vitro isolated rabbit gastric glands acid secretion assessed accumulation carbon labeled aminopyrine c ap glands incubated varying calcium concentrations unstimulated state histamine carbachol mol l mmol l calcium medium effect parathyroid hormone also examined identical conditions compared mmol l standard calcium medium unstimulated c ap accumulation significantly inhibited p less lower mmol l higher mmol l calcium concentrations accumulation c ap response histamine stimulation unaffected alteration extracellular calcium p greater carbachol stimulated c ap accumulation significantly augmented p less increase calcium concentration mmol l addition parathyroid hormone mmol l alone combination carbachol histamine mmol l incubation alter c ap accumulation data suggest elevations extracellular calcium play active role potentiation cholinergic mediated gastric gland acid secretion may thereby play role hyperparathyroid related ulcer disease,C19
cold follicles multinodular human goiter arise partly failing iodide pump partly deficient iodine organification investigate whether common cold follicles human multinodular goiters consequence functional defect apical membrane peroxidase failure iodide transport system deficiencies studied iodide accumulation iodine organification fragments large multinodular goiter transplanted nude mice labeled transplants frozen c immediately removal avoid diffusion inorganic iodide autoradiographic assessment cryosections exposed either c thawing washing unbound iodide showed two types cold follicles namely failed accumulate iodide therefore organify iodine readily accumulated iodide failed bind suggesting failure apical membrane peroxidase two types pathogenetically different cold follicles coexisted apparently randomly intermingled fashion throughout whole goiter,C19
rebound increase serum thyrotropin anti microsomal antibodies thyroglobulin discontinuation l thyroxine assayed serum thyrotropin tsh antimicrosomal antibodies msa antithyroglobulin antibodies thyroglobulin seven individuals subclinical autoimmune hypothyroidism two month periods l thyroxine substitution placebo respectively serum tsh decreased l thyroxine administration rebound increase serum tsh months duration placebo treatment parallel increase serum thyroglobulin agreement previous observations groups found decreased serum concentrations msa l thyroxine treatment three individuals addition slow significant transient increase serum msa recorded placebo administration four individuals showed pronounced increase serum tsh greater mu l association serum levels msa tsh probably related antigen presentation surface thyrocyte conclude changes serum tsh concentration taken account interpretation msa patients thyroid disease whether untreated treated l thyroxine,C19
prevalence previously undiagnosed hypothyroidism residents midwestern nursing home published erratum appears south med j jul hypothyroidism elderly may associated nonspecific symptoms determine prevalence undiagnosed hypothyroidism residents skilled nursing facility screened male female residents aged years older thyroid dysfunction overt hypothyroidism found three men two women subclinical hypothyroidism diagnosed men women tests thyroid antibodies positive patients overt hypothyroidism men women subclinical hypothyroidism thyroid antibody testing residents newly diagnosed overt hypothyroidism subclinical hypothyroidism medical observation year longer institutionalized elderly screened hypothyroidism abnormality may otherwise remain undiagnosed detection subclinical hypothyroidism important affected individuals risk decline thyroid function,C19
lipoprotein apolipoprotein levels subclinical hypothyroidism effect levothyroxine therapy assess whether subclinical hypothyroidism associated changes lipoprotein fractions patients maintained stable state subclinical hypothyroidism least months studied prior months following restoration euthyroid state incremental levothyroxine sodium therapy thyrotropin levels sem decreased mu l mu l mu l months months months levothyroxine treatment led decrease levels total cholesterol mmol l mg dl mmol l mg dl low density lipoprotein cholesterol ldl c mmol l mg dl mmol l mg dl apolipoprotein b mg dl mg dl months levels ldl c apolipoprotein b remained significantly lower pretreatment values mmol l mg dl mg dl respectively high density lipoprotein cholesterol hdl c hdl c apolipoprotein significantly affected levothyroxine therapy slight trend increase hdl c levothyroxine substitution also tendency decrease triglyceride levels mmol l mg dl mmol l mg dl months levothyroxine therapy levels hdl c tended decrease mmol l mg dl mmol l mg dl months mmol l mg dl months ldl c hdl c ratio also decreased mmol l mg dl mmol l mg dl mmol l mg dl months months respectively results suggest long term levothyroxine therapy patients subclinical hypothyroidism associated decrease ldl c apolipoprotein b levels reflected trend decreases cholesterol hdl c ldl c hdl c ratios known relationship coronary artery disease,C19
interaction insulin glucose delivery route regulation net hepatic glucose uptake conscious dogs presence fixed basal levels insulin route intravenous glucose delivery protal vs peripheral determines whether net hepatic glucose uptake nhgu occurs aims determine route intravenous glucose delivery also plays role regulating nhgu presence hyperinsulinemia determine length fast vs h influences regulation nhgu five conscious dogs fasted h given somatostatin replacement insulin microu kg min glucagon ng kg min infusions intraportally min control period insulin infusion rate increased fourfold glucose infused h glucose given either peripheral vein portal vein min double glucose load reaching liver order infusions randomized nhgu measured arterial venous difference technique insulin glucagon levels microu ml pg ml control peripheral portal infusions respectively glucose infusion rate load glucose reaching liver arterial portal plasma glucose gradient mg kg min mg kg min mg dl periods,C19
intercellular propagation individually programmed growth bursts frtl cells implications interpreting growth factor actions five methods commonly used quantify frtl cells thyrocytes growth vitro impact growth inhibiting stimulating maneuvers total cell count mitotic index dna measurement total h thymidine incorporation fraction h thymidine labeled cells assess cell growth though cells homogeneous identical response growth factors demonstrate assumption valid rather intrinsically growth prone cells appear pass growth signal neighboring cells variably sized colonies synchronized cells within cluster growing monodispersed cells formed true frtl cells growing vitro monolayers three dimensional collagen embedded spheroids pattern cell suspensions collagen embedded spheroids implanted onto nude mice patches alternating high low growth become particularly prominent large tumor like organoids grown monodispersed cells nude mice pattern much reminds similar observations growing intact thyroids since significant correlation fraction h thymidine labeled cells size two three dimensional clusters experiment growth signal spreading cells assumed occur leaps bounds growth velocity subclone cell population depends mean interval bursts replications number cells synchronized cell cell diffusion growth signal emanating one dividing cell thus growth promoting growth inhibiting factors may act mean interval successive growth bursts may also change cell cell spreading growth signals,C19
intraoperative parathormone level measurement management hyperparathyroidism investigate potential use intraoperative intact parathormone measurements predict curative parathyroidectomy measured ionized calcium cai levels parathormone levels patients hyperparathyroidism underwent exploratory bilateral neck surgery nineteen patients solitary adenoma patients hyperplasia one patient four normal parathyroid glands results compared results patients underwent either thyroid lobectomy tl n near total thyroidectomy ntt n control patients underwent miscellaneous operations parathormone decline curative parathyroidectomy mean se significantly greater decline three patients persistent postoperative hyperparathyroidism p less declines tl p less ntt p less p less control patients intraoperative cai decline curative parathyroidectomy differ significantly results tl ntt miscellaneous operations control patients patients persistent postoperative hyperparathyroidism greatest decline cai levels p less data conclude decline parathormone level minutes parathyroidectomy predictive cure thyroidectomy even unilaterally produces significant decline parathormone level affects interpretation intraoperative parathormone level changes cai level slow decline useful predicting effective parathyroidectomy measurement intraoperative parathormone level changes used substitute exploratory bilateral neck surgery,C19
selective serotonin reuptake inhibitor paroxetine effective treatment diabetic neuropathy symptoms effect selective serotonin reuptake inhibitor paroxetine diabetic neuropathy symptoms examined comparison imipramine placebo randomised double blind cross study paroxetine given fixed dose mg day dose imipramine adjusted yield optimal plasma levels imipramine plus desipramine nm paroxetine significantly reduced symptoms neuropathy measured observer self rating somewhat less effective imipramine however patients showing weaker response paroxetine imipramine lower plasma concentrations paroxetine patients similar response drugs imipramine patients dropped intolerable side effects patients completing study reported withdrawal symptoms discontinuing imipramine paroxetine patients dropped due side effects withdrawal symptoms reported self rating showed depressive symptoms baseline changes study neither paroxetine imipramine caused changes objective measures peripheral nerve function conclusion mg paroxetine day significantly reduced symptoms peripheral diabetic neuropathy suggested dose adjustment basis drug level monitoring paroxetine may become effective imipramine paroxetine devoid often disturbing autonomic side effects limiting use imipramine several patients,C19
hyperinsulinemia increases amount glut mrna white adipose tissue decreases muscles clue increased fat depot insulin resistance mimick state hyperinsulinemia normal rats infused insulin days via minipumps compared saline infused rats end experimental period abundance mrna increased white adipose tissue wat decreased muscles insulinized rats compared controls findings accompanied tissues considered except diaphragm parallel changes amount glucose transporter protein parallel changes vivo glucose utilization index hyperinsulinemia thus driving force stimulating adipose tissue metabolic activity bringing incipient muscle insulin resistance,C19
metabolic effects kcal diet obese pregnant women gestational diabetes calorie restriction widely used primary therapy obese pregnant women gestational diabetes better understand metabolic consequences marked calorie restriction performed randomized prospective trial metabolic ward conditions obese gestationally diabetic women randomized control n calorie restricted n groups patients consumed approximately kcal day diet st wk study end st wk metabolic features two groups statistically indistinguishable nd wk control group continued consume approximately kcal day whereas calorie restricted group consumed approximately kcal day twenty four hour mean glucose levels remained unchanged control group mm wk vs mm wk although dropped dramatically calorie restricted group mm wk vs mm wk p less fasting plasma insulin also declined calorie restricted group pm wk vs pm wk resulting significant change groups p less surprisingly fasting plasma glucose glucose tolerance measured h oral glucose tolerance test change within groups fasting levels beta hydroxybutyrate rose calorie restricted group microm wk vs microm wk control group p less finally urine ketones increased significantly p less calorie restricted group whereas remained absent control group,C19
training obstetrics gynecology residents manage breast disease incorporation breast care clinic american board obstetricians gynecologists recently issued directive education breast disease incorporated residency training programs university michigan medical center comprehensive breast care center bcc provides vehicle education training residents area breast disease department obstetrics gynecology fully integrated participates actively care patients bcc,C19
increased transcapillary escape rate albumin nondiabetic men response hyperinsulinemia diabetic patients manifest increased vascular permeability determine whether insulin per se might increase vascular permeability five nondiabetic men studied hyperinsulinemic euglycemic clamp technique subject received nmol kg body wt v insulin bolus followed pmol kg min insulin infusion h euglycemia maintained biostator glucose controller h study microci v labeled albumin injected bolus dose frequent blood samples drawn next min determination transcapillary escape rate ter albumin subjects returned wk later control study saline infused rate identical dextrose insulin infusion rates hyperinsulinemic clamp mean se serum insulin levels hyperinsulinemic clamp saline infusion pm respectively whereas serum glucose two sessions similar vs mm ns identical fluid volumes infused two sessions ml h urine outputs differ significantly vs ml h ter albumin greater five men hyperinsulinemia saline infusion vs h p,C19
