content,labels,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
occurrence type vi collagen extracellular matrix renal glomeruli increase diabetes human bovine glomerular basement membrane gbm preparations representing extracellular matrix renal filtration units found contain type vi collagen protein solubilized guanidine guanidine dithiothreitol extractions characterized polyacrylamide gel electrophoretic resolution immunoblotting antiserum directed alpha vi alpha vi polypeptide chains insensitivity collagenase digestion nonreduced state contrast gbm product three distinct cells type vi collagen could detected extracts calf lens capsule epithelial cell derived basement membrane quantitation radioimmunoassay type vi collagen content gbm diabetic nondiabetic human subjects indicated fold higher level p less diabetic preparations glomerulus type vi collagen considered basis immunohistochemistry localized mesangium believe measurement protein gbm preparations provide valuable index mesangial expansion diabetic glomerulopathies,C19,0.002251755,0.0019974192,0.015096923,0.19655558,0.0031354977,0.0029060072,0.19870992,0.0021180338,0.0016279187,0.0022124816,0.011640006,0.00463143,0.0635089,0.03462793,0.012855221,0.039443374,0.046014976,0.036938157,0.0025639543,0.03571943,0.10733386,0.0007995164,0.17731172
aberrant splicing androgen receptor mrna results synthesis nonfunctional receptor protein patient androgen insensitivity androgen insensitivity disorder correct androgen response androgen target cell impaired clinical symptoms x chromosome linked syndrome presumed caused mutations androgen receptor gene report g mutation splice donor site intron androgen receptor gene xy subject lacking detectable androgen binding receptor complete form androgen insensitivity point mutation completely abolishes normal rna splicing exon intron boundary results activation cryptic splice donor site exon leads deletion nucleotides mrna translation mutant mrna results androgen receptor protein approximately kda smaller wild type mutated androgen receptor protein unable bind androgens unable activate transcription androgen regulated reporter gene construct mutation human androgen receptor gene demonstrates importance intact steroid binding domain proper androgen receptor functioning vivo,C19,0.0021602912,0.001895176,0.0041873874,0.011530492,0.0029754222,0.0027572557,0.17757171,0.0020091839,0.0015445894,0.0021057862,0.009996869,0.004394358,0.015028218,0.04148764,0.012619541,0.003326964,0.053451248,0.4172972,0.0024327117,0.035218965,0.08074657,0.00075859105,0.11450376
mutation signal peptide encoding region preproparathyroid hormone gene familial isolated hypoparathyroidism preproparathyroid hormone prepropth gene mutation proposed cause familial isolated hypoparathyroidism fih cloned prepropth alleles patient autosomal dominant fih sequenced coding regions flanking regions splice junctions putatively abnormal based previous linkage studies allele differed allele normal sequence one nucleotide c point mutation changes codon position amino acid prepro sequence cysteine arginine disrupting hydrophobic core signal sequence hydrophobic core required secreted proteins efficient translocation across endoplasmic reticulum mutant protein likely inefficiently processed indeed vitro studies demonstrated dramatically impaired processing mutant prepropth propth summary observed point mutation signal peptide encoding region prepropth gene one fih kindred demonstrated functional defect caused mutation mutation signal sequence constitutes novel pathophysiologic mechanism man study may yield important insights form hormone deficiency role signal sequences human physiology,C19,0.0018168128,0.0016116037,0.01218801,0.009802864,0.028911613,0.0023446917,0.11202088,0.019259928,0.010084973,0.0017851252,0.23557228,0.0037368368,0.013378688,0.0045475527,0.0015976593,0.0028291554,0.026036995,0.072381325,0.0020687087,0.028150378,0.20879625,0.0006450842,0.20043261
short term treatment acromegaly somatostatin analog octreotide first double blind randomized placebo controlled study effects several studies suggest somatostatin analog octreotide sms may effectively reduce gh hypersecretion however double blind placebo controlled study substantiated findings present results randomized double blind day clinical trial octreotide patients acromegaly drug given sc every h initial dose micrograms added another micrograms every day micrograms gh levels calculated mean values observations hourly intervals h insulin like growth factor igf levels significantly reduced octreotide treatment responses varied reduction basal mean gh level significant reduction patients good correlation reduction gh igf levels main side effects gastrointestinal well tolerated found spontaneous variation daily mean gh igf levels h placebo group ranging approximately gh igf levels noted day patients treated octreotide occurrence gh rises administration times suggests may desirable give octreotide every h patients,C19,0.0018325517,0.001625337,0.0034188724,0.0010294918,0.0025514127,0.0025650968,0.14959837,0.0017231123,0.0013246677,0.0018003373,0.020617967,0.023152031,0.076511376,0.004227551,0.001611274,0.011720135,0.10049289,0.00188696,0.17890812,0.021991096,0.38887566,0.0006505814,0.0018851109
genetic evidence equating sry testis determining factor testis determining factor gene tdf lies chromosome responsible initiating male sex determination sry gene located sex determining region human mouse chromosomes many properties expected tdf sex reversal xy females results failure testis determination differentiation pathways xy females gonadal dysgenesis lost sex determining region chromosome terminal exchange sex chromosomes deletions sry tdf would predicted sex reversed xy females without chromosome deletions suffered mutations sry tested human xy females normal xy males alterations sry using single strand conformation polymorphism assay subsequent dna sequencing de novo mutation found sry gene one xy female mutation present patient normal father brother second variant found sry gene another xy female case normal father shared alteration variant second case may fortuitously associated predisposing towards sex reversal de novo mutation associated sex reversal provides compelling evidence sry required male sex determination,C19,0.0016969093,0.009719058,0.0042987885,0.00095342414,0.018782046,0.0021899499,0.17120054,0.0015957941,0.0012267899,0.001667313,0.07368371,0.0034902182,0.019577183,0.05460909,0.0014922193,0.0026557632,0.025539754,0.0017518701,0.0019321808,0.27420816,0.037394404,0.0006025109,0.28973234
human xy female frame shift mutation candidate testis determining gene sry primary decision male female sexual development human embryo depends presence chromosome specifically gene chromosome encoding testis determining factor tdf human sex determining region delimited kilobase interval near pseudoautosomal boundary region candidate gene tdf termed sry conserved specific chromosome mammals tested corresponding gene mouse chromosome deleted line xy female mutant mice expressed expected stage male gonadal development identified mutation sry one sex inversed xy females gonadal dysgenesis lack large segments short arm chromosome four nucleotide deletion occurs sequence sry encoding conserved dna binding motif results frame shift presumably leading non functional protein mutation occurred de novo father sporadic xy female bears normal sequence corresponding position results provide strong evidence sry tdf,C19,0.0019361974,0.0017175038,0.0036127437,0.0010878703,0.02146044,0.0024987636,0.1877069,0.0018208235,0.010746022,0.0019024278,0.020989696,0.003982388,0.014594703,0.03965844,0.0017026432,0.0030319043,0.034727793,0.040158343,0.0022046457,0.26570073,0.107749306,0.00068747334,0.23032226
tumor necrosis factor putative mediator sick euthyroid syndrome man tumor necrosis factor alpha tnf believed important mediator many diseases associated sick euthyroid syndrome investigate effect tnf thyroid hormone metabolism performed controlled study six healthy postabsorptive males plasma thyroid hormones tsh sequentially measured iv bolus injections recombinant human tnf micrograms isotonic saline h study tnf produced characteristic changes circulating thyroid hormones tsh observed sick euthyroid syndrome compared control experiment tnf induced significant decreases saline p less tsh levels saline p less significant increase rt values saline p less free index affected tnf free showed mean transient increase five subjects nonsignificant occurred synchronically transient fold rise circulating ffa levels results suggest tnf involved either directly indirectly pathogenesis sick euthyroid syndrome,C19,0.010508454,0.0016256538,0.0034195385,0.0010296925,0.00255191,0.0023651328,0.13772458,0.0017234482,0.0013249258,0.0018006882,0.009582991,0.09500033,0.18183272,0.022601632,0.0016115879,0.003044838,0.035451,0.011640934,0.002086744,0.08673467,0.23149565,0.13372749,0.021115422
comparison hba fructosamine diagnosis glucose tolerance abnormalities total glycosylated hemoglobin hba fructosamine evaluated screening tools detection glucose tolerance abnormalities asymptomatic subjects undergoing g oral glucose tolerance test subjects classified according world health organization criteria normal n impaired n diabetic n glucose tolerance found good specificity hba fructosamine respectively low sensitivity respectively intersection curves sensitivity specificity drawn various thresholds normality sensitivity specificity hba fructosamine thus neither hba fructosamine seems suitable diagnosis mild abnormalities glucose tolerance,C19,0.0032406095,0.0028745823,0.021731654,0.0018207664,0.020174997,0.0041821753,0.123121224,0.0030475084,0.0023428164,0.0031840892,0.15657681,0.0066911057,0.39131942,0.007580163,0.0028497702,0.099110305,0.054434393,0.0033586978,0.019374013,0.021949487,0.046550985,0.0011506227,0.0033338196
vitro vivo testing electrocatalytic glucose sensor prerequisite development implantable artificial pancreas availability stable long life glucose sensor platinum pt catalyzed electrodes demonstrated vitro show high sensitivity glucose long cycle life sensitive co reactants compared enzymatic methods authors developed special data processing method compensated net charge ratio cncr measured electrode response sensitive glucose completely insensitive urea moderately sensitive amino acids endogenous exogenous co reactants show minor interferences cncr method involves determination ratio net oxidation charge total charge one complete cycle cyclic voltammogram prototype electrodes tested vitro spiked plasma shown typical sensitivities greater x cncr units per mg dl change glucose concentration linear response mg dl vivo testing modified f vascular catheter membrane covered surface mounted electrodes used vena cava site swine several sensor designs tested vivo sensitivities x cncr units mg dl,C19,0.0016830532,0.0014929522,0.38891137,0.000945639,0.0023438227,0.0021723586,0.120436475,0.014014767,0.0012167726,0.0016536986,0.10576618,0.0034617188,0.056900933,0.0038886638,0.034125607,0.06779898,0.027828649,0.0017621061,0.0019164036,0.053739138,0.097479805,0.00059759105,0.009863317
total serum glycosylated proteins detection monitoring gestational diabetes goal study determine whether serum glycosylated protein levels e fructosamine reliably screen gestational diabetes whether levels valid markers short term glycemic control third trimester pregnancy ninety seven pregnant women wk gestation evaluated mo hba c serum glycosylated protein serum fructosamine determined baseline venipuncture g oral glucose tolerance test performed detect gestational diabetes women studied tested positive gestational diabetes national diabetes data group criteria significant differences fasting h glucose values nondiabetic diabetic patients p less time point difference noted baseline serum glycosylated protein level vs mm ns hba c level vs ns gestational nondiabetic patients diabetic patients followed wk intervals serum glycosylated protein analysis hba c fasting glucose mean glucose determined outpatient monitoring serum glycosylated protein correlated significantly fasting blood glucose r p less mean outpatient glucose r p less wk follow visits correlation found hba c fasting blood glucose r ns mean outpatient glucose r ns follow period serum glycosylated protein level serum fructosamine useful screening test gestational diabetes however assay shows potential objective marker short term control evaluating maternal glycemic state,C19,0.0014275197,0.0012662811,0.0026893162,0.0008020651,0.001987776,0.0018422885,0.100872435,0.0013424568,0.0010320331,0.0014026219,0.20718493,0.017279163,0.15903923,0.010823696,0.06348227,0.098966785,0.07176076,0.049846306,0.0016254411,0.028790228,0.17455891,0.0005068604,0.0014706659
circadian rhythmicity rate normalized qt interval hypothyroidism significance development class iii antiarrhythmic agents lengthening repolarization refractoriness occurs hypothyroidism associated reduced probability arrhythmias converse occurring hyperthyroidism qt interval circadian rhythmicity relative heart rate poorly defined man used new computer assisted technique measure qt interval analysis hour holter tapes weeks thyroxine replacement patients hypothyroidism findings compared normal control subjects qtc interval prolonged p less heart rate decreased p less hypothyroid state data analyzed circadian rhythmicity repeated measures analysis circadian variation qtc heart rate statistically significant hypothyroid euthyroid states p less well control subjects circadian rhythmicity qtc interval heart rate phase maximum prolongation qtc occurred midnight time heart lowest qtc interval remained significantly prolonged weeks replacement biochemical indexes hypothyroidism returned normal values computer assisted qtc interval determination technique used data circadian rhythmicity qtc heart rate significant implications development new class iii antiarrhythmic agents,C19,0.0017425611,0.0015457387,0.0116845835,0.000979074,0.002426461,0.0022488658,0.1808705,0.0016387255,0.0012597941,0.052201983,0.03843433,0.0036264025,0.22747773,0.0040609115,0.009944223,0.011146002,0.36023837,0.0017953671,0.001984162,0.04592402,0.03634637,0.00061872014,0.0018050872
effects converting enzyme inhibition barrier function diabetic glomerulopathy differential solute clearances used examine effects day course enalapril glomerular barrier function proteinuric patients diabetic glomerulopathy day plasma renin prorenin became elevated arterial pressure declined transglomerular passage dextrans broad size distribution radii lowered significantly subset patients withdrawal enalapril followed additional days return renin levels arterial pressure pretreatment levels dextran sieving profile also returned baseline becoming uniformly elevated treated day levels theoretical analysis serial dextran sieving profiles indicated enalapril shifted glomerular pore size distribution smaller size changes barrier size selectivity associated reduction fractional albumin igg clearances enalapril therapy subsequent rise quantities withdrawal urinary protein excretion rate tended vary parallel conclude inhibition converting enzyme humans established diabetic glomerulopathy diminishes glomerular permeability proteins enhancing barrier size selectivity neither enalapril therapy withdrawal influenced glomerular filtration renal plasma flow rates significantly propose primary action enalapril may modulate intrinsic membrane properties glomerular barrier,C19,0.0014551295,0.0012666796,0.03026202,0.00080231746,0.0020274154,0.008750128,0.10331134,0.0013428793,0.0010323579,0.0014030633,0.0076262304,0.0029371085,0.047217824,0.003383009,0.0012557198,0.022956042,0.042550094,0.023196062,0.0016259525,0.0115455985,0.68206894,0.00050701987,0.0014770548
oral calcium load test diagnostic physiologic implications hyperparathyroidism oral calcium load test clt gm ca kg administered control subjects patients overt hyperparathyroidism assess efficacy diagnosis hyperparathyroidism participants placed low calcium diet days clt intact parathormone ionized calcium cai levels measured hours clt initial cai parathormone mean se mmol l pmol l control group compared mmol l pmol l group hyperparathyroidism groups similar percent increase cai values control hyperparathyroidism p greater decline parathormone levels patients hyperparathyroidism significantly less decline observed control subjects p less three hours clt parathormone suppressed control subjects whereas rebound occurred patients hyperparathyroidism postoperative clt demonstrated higher mean percent cai increase percent parathormone decline cai parathormone compared preoperative values cai pth p less hours calcium intake parathormone remained suppressed similar control subjects surgery three patients elevated parathormone low normal cai levels parathormone response clt confirmed diagnosis secondary hyperparathyroidism conclusion clt confirm diagnosis hyperparathyroidism successful parathyroidectomy distinguished postoperative secondary persistent primary hyperparathyroidism demonstrated nonautonomy abnormal parathyroid glands parathormone response calcium load characterized earlier nadir decreased suppressibility rapid recovery produced dynamic changes distinguish patients hyperparathyroidism control subjects hyperplasia adenoma,C19,0.0014610488,0.001292936,0.06939338,0.0008189483,0.002029888,0.0230331,0.08740788,0.017094785,0.0010537572,0.0014321466,0.061437972,0.026751379,0.21573102,0.05934791,0.001281749,0.0022697372,0.1729729,0.032466136,0.0016596562,0.024947692,0.19409156,0.0005175296,0.0015069209
reappraisal thyroxine treatment primary hypothyroidism optimum daily dose thyroxine calculated children aged years primary hypothyroidism titrating doses monthly intervals condition thyroid assessed sensitive assay thyroid stimulating hormone concentrations well measurement total free thyroid hormone concentrations systolic time interval ratios serum thyroid stimulating hormone concentration found responsive small changes thyroxine calculated optimum daily replacement dose thyroxine micrograms micrograms kg fractionally lower previously recommended closely related surface area coefficient variation body weight coefficient variation results suggest though monthly may optimal time interval increases dose thyroxine reduction dose made gradually,C19,0.0023814884,0.002112499,0.019810317,0.012858263,0.003316147,0.10592303,0.16083094,0.0022428462,0.0017217101,0.020021172,0.018447619,0.05099756,0.08248687,0.032175455,0.002094278,0.0037084727,0.04976898,0.002452538,0.002711675,0.023847671,0.3967945,0.00084558,0.002450396
tests thyroid function update diagnosis management thyroid disease current thyroid function tests give clinician powerful tools accurate assessment thyroid status majority patients encountered however small number clinical situations appear inconsistencies interrelationship thyroid function tests apparently inappropriate clinical status patient instances rational explanation observed alterations application information allow clinicians refine diagnostic accuracy thereby enable proceed appropriate therapeutic management program,C19,0.01704693,0.0025903643,0.0054487926,0.001640742,0.018177629,0.0037686718,0.24511984,0.0027461925,0.0021111756,0.002869269,0.09091026,0.08055095,0.024588443,0.0070347786,0.0025679513,0.23468478,0.063146845,0.003007323,0.014350725,0.0769093,0.096688,0.0010368574,0.0030041954
hyperparathyroidism cellular mechanisms gastric acid secretion patients hyperparathyroidism appear particular risk peptic ulcer disease test hypothesis hypercalcemia parathyroid hormone plays role promoting ulcer disease studied effect varying concentrations extracellular calcium acid secretion using vitro isolated rabbit gastric glands acid secretion assessed accumulation carbon labeled aminopyrine c ap glands incubated varying calcium concentrations unstimulated state histamine carbachol mol l mmol l calcium medium effect parathyroid hormone also examined identical conditions compared mmol l standard calcium medium unstimulated c ap accumulation significantly inhibited p less lower mmol l higher mmol l calcium concentrations accumulation c ap response histamine stimulation unaffected alteration extracellular calcium p greater carbachol stimulated c ap accumulation significantly augmented p less increase calcium concentration mmol l addition parathyroid hormone mmol l alone combination carbachol histamine mmol l incubation alter c ap accumulation data suggest elevations extracellular calcium play active role potentiation cholinergic mediated gastric gland acid secretion may thereby play role hyperparathyroid related ulcer disease,C19,0.0015683299,0.0013911868,0.002926341,0.0008811806,0.0021838497,0.0020240115,0.50788814,0.024242995,0.0011338327,0.0015409762,0.007315376,0.012335806,0.05831966,0.09971862,0.0013791497,0.032987315,0.019138256,0.0016246437,0.0017857742,0.021424528,0.19601972,0.000556857,0.00161344
cold follicles multinodular human goiter arise partly failing iodide pump partly deficient iodine organification investigate whether common cold follicles human multinodular goiters consequence functional defect apical membrane peroxidase failure iodide transport system deficiencies studied iodide accumulation iodine organification fragments large multinodular goiter transplanted nude mice labeled transplants frozen c immediately removal avoid diffusion inorganic iodide autoradiographic assessment cryosections exposed either c thawing washing unbound iodide showed two types cold follicles namely failed accumulate iodide therefore organify iodine readily accumulated iodide failed bind suggesting failure apical membrane peroxidase two types pathogenetically different cold follicles coexisted apparently randomly intermingled fashion throughout whole goiter,C19,0.0025593552,0.02705022,0.041935593,0.0014382041,0.014159588,0.0033029814,0.15077043,0.0024068486,0.0018502999,0.05201632,0.011863829,0.104341164,0.015953656,0.043442443,0.027019193,0.0039854483,0.054829504,0.015023289,0.0029142024,0.066833355,0.33644548,0.00090873404,0.018949812
